,volatility,sharpe,max_drawdown,risk
MPC,0.0292772873333758,0.7071422370320649,-0.728849642148985,medium
VLO,0.030250156445409057,0.48681713894202466,-0.6593729439971564,high
HES,0.029778692099643594,0.5733743166677241,-0.5893463515278835,medium
BKR,0.02771641773946378,0.4668189654651509,-0.633161063018555,medium
DOW,0.023471147928707144,0.025029348665825332,-0.5839323676455144,medium
LIN,0.016092827718115328,0.7446198839455181,-0.3258504566753978,medium
NEM,0.02331772998950136,0.4132539923145223,-0.6240274422729337,medium
FCX,0.032307919558068665,0.7098811516690571,-0.60608317159994,medium
APD,0.01891762240315587,0.3785570705417983,-0.31765690548134284,medium
DD,0.021874884746324253,0.3212684952294486,-0.5489478251201267,medium
ALB,0.0341423437843205,0.315324366078747,-0.8390426569753942,high
EMN,0.021997730824143302,0.26783311869619075,-0.5042978838832521,medium
MLM,0.021475802300482377,0.5704987316204561,-0.47961518000861036,medium
VMC,0.02076891813889815,0.5346490092340465,-0.4824435592029461,medium
NEE,0.019245647965050985,0.37563703351966055,-0.449697250913337,medium
DUK,0.015221172927263453,0.489499154699473,-0.3737185337354515,medium
SO,0.016387053627436712,0.5626936994889309,-0.3843489199151905,medium
AEP,0.015393082181694391,0.3728802933336175,-0.3290520395945806,medium
EXC,0.017790220847810224,0.4545694112323378,-0.4003640008215579,medium
D,0.017701333687642217,0.07270768503794277,-0.5219992984161372,medium
XEL,0.015912336043207048,0.3346761807214216,-0.34412625060123747,medium
PEG,0.01606173570021473,0.5180964869363567,-0.3975868362230218,medium
SRE,0.01825680825902975,0.291282452155178,-0.4500094268508722,medium
WEC,0.016101020222770678,0.3776922027777653,-0.323052059526748,medium
PLD,0.019928488655596568,0.35262705955049356,-0.43295262501987675,medium
AMT,0.019087386277496995,0.22929526613000187,-0.4534420360159618,medium
CCI,0.01868633016861676,0.1122026022442186,-0.5547697662902991,medium
EQIX,0.019501071849033016,0.3848512084338629,-0.4176798596921826,medium
SPG,0.02943027080262844,0.40065908871661393,-0.7003268592564462,medium
O,0.019118222670897456,0.18826733163186304,-0.48282086440827,medium
VTR,0.02703498401740554,0.37759653511845415,-0.7308485404776277,medium
AVB,0.018567502235592007,0.2514986360864391,-0.4691104183344781,medium
EQR,0.01883620360717652,0.17274948904320117,-0.45149593502795426,medium
DLR,0.020244460322188674,0.49923921643038993,-0.48515212789237516,medium
